ItemNumber,probability,rank,why_yes,why_no,existing,ClientNumber
4267241,0.74,M,"[['products_history', 0, 0.63], ['Category', 'PC12', 0.22], ['current_week', 4, 0.18]]","[['products_new_all_tf', 5, -0.25], ['seq_comp_14', -0.032516900449991226, -0.32], ['seq_comp_30', 0.025678254663944244, -0.4]]",FALSE,2882876
5019369,0.61,L,"[['products_history', 0, 0.65], ['current_week', 4, 0.14], ['ZipCode', 4100, 0.12]]","[['seq_comp_21', 0.057679735124111176, -0.22], ['seq_comp_30', 0.025678254663944244, -0.41], ['Category', 'PC35', -1.05]]",FALSE,2882256
4961801,0.52,L,"[['products_history', 0, 0.75], ['current_week', 4, 0.08], ['seq_comp_03', 0.08216032385826111, 0.08]]","[['MarketChainName', None, -0.44], ['seq_comp_14', -0.032516900449991226, -0.45], ['Category', 'PC11', -0.53]]",FALSE,2866663
4517488,0.63,L,"[['products_history', 0, 0.81], ['seq_comp_03', 0.08216032385826111, 0.11], ['current_week', 4, 0.1]]","[['seq_comp_14', -0.032516900449991226, -0.3], ['seq_comp_30', 0.025678254663944244, -0.34], ['MarketChainName', None, -0.48]]",FALSE,2861938
4266599,0.72,M,"[['products_history', 0, 0.66], ['current_week', 4, 0.24], ['Category', 'PC12', 0.21]]","[['products_new_all_tf', 5, -0.26], ['seq_comp_14', -0.032516900449991226, -0.31], ['seq_comp_30', 0.025678254663944244, -0.42]]",FALSE,2835825
1610989,0.75,M,"[['products_history', 0, 0.36], ['current_week', 4, 0.35], ['Category', 'PC64', 0.22]]","[['products_new_all_tf', 5, -0.25], ['seq_comp_30', 0.025678254663944244, -0.3], ['seq_comp_14', -0.032516900449991226, -0.33]]",FALSE,2811982
5120324,0.52,L,"[['products_history', 0, 0.72], ['seq_comp_03', 0.08216032385826111, 0.08], ['seq_comp_20', 0.003904992016032338, 0.07]]","[['MarketChainName', None, -0.46], ['seq_comp_30', 0.025678254663944244, -0.46], ['seq_comp_14', -0.032516900449991226, -0.56]]",FALSE,2808327
4020020,0.55,L,"[['products_history', 0, 0.37], ['seq_comp_29', 0.08296877145767212, 0.13], ['ZipCode', 5014, 0.09]]","[['seq_comp_30', 0.025678254663944244, -0.32], ['seq_comp_14', -0.032516900449991226, -0.35], ['Category', 'PC33', -0.51]]",FALSE,2789550
4769451,0.66,M,"[['products_history', 0, 0.65], ['ZipCode', 2683, 0.21], ['current_week', 4, 0.11]]","[['seq_comp_30', 0.025678254663944244, -0.24], ['seq_comp_14', -0.032516900449991226, -0.26], ['MarketChainName', None, -0.52]]",FALSE,2743367
5017025,0.51,L,"[['products_history', 0, 0.6], ['seq_comp_03', 0.08216032385826111, 0.09], ['ZipCode', 2000, 0.08]]","[['seq_comp_30', 0.025678254663944244, -0.33], ['seq_comp_14', -0.032516900449991226, -0.4], ['MarketChainName', None, -0.51]]",FALSE,2695476
4266433,0.52,L,"[['products_history', 0, 0.63], ['seq_comp_04', -0.21040497720241547, 0.13], ['current_week', 4, 0.1]]","[['seq_comp_30', 0.025678254663944244, -0.48], ['seq_comp_14', -0.032516900449991226, -0.52], ['Category', 'PC27, PC12', -0.56]]",FALSE,2676351
2865459,0.58,L,"[['products_history', 0, 0.35], ['current_week', 4, 0.19], ['ZipCode', 3159, 0.12]]","[['seq_comp_14', -0.032516900449991226, -0.27], ['seq_comp_30', 0.025678254663944244, -0.41], ['Category', 'PC23', -0.52]]",FALSE,2663151
4519096,0.5,L,"[['products_history', 0, 0.64], ['ZipCode', 5008, 0.16], ['seq_comp_04', -0.21040497720241547, 0.09]]","[['MarketChainName', 'EUREST PROFIL 13', -0.36], ['seq_comp_14', -0.032516900449991226, -0.4], ['Category', 'PC15', -0.53]]",FALSE,2658417
4961876,0.59,L,"[['products_history', 0, 0.65], ['Branch', 'KAFE/KAFETERIA', 0.31], ['current_week', 4, 0.28]]","[['products_new_18_week', 0, -0.05], ['seq_comp_17', -0.051530372351408005, -0.06], ['seq_comp_23', -0.024844428524374962, -0.09]]",FALSE,2656031
2869311,0.52,L,"[['products_history', 0, 0.71], ['seq_comp_03', 0.08216032385826111, 0.08], ['seq_comp_20', 0.003904992016032338, 0.07]]","[['MarketChainName', 'EUREST PROFIL 13', -0.44], ['seq_comp_30', 0.025678254663944244, -0.47], ['seq_comp_14', -0.032516900449991226, -0.56]]",FALSE,2602225
4962296,0.51,L,"[['products_history', 0, 0.26], ['current_week', 4, 0.2], ['MarketChainName', 'CIRCLE K', 0.16]]","[['ZipCode', 9513, -0.3], ['seq_comp_14', -0.032516900449991226, -0.33], ['seq_comp_30', 0.025678254663944244, -0.5]]",FALSE,2553543
4694303,0.63,L,"[['products_history', 0, 0.36], ['current_week', 4, 0.21], ['seq_comp_29', 0.08296877145767212, 0.11]]","[['seq_comp_14', -0.032516900449991226, -0.27], ['seq_comp_30', 0.025678254663944244, -0.31], ['Category', 'PC65', -0.45]]",FALSE,2499796
2846913,0.52,L,"[['products_history', 0, 0.93], ['products_new_all_tf', 25, 0.24], ['seq_comp_03', 0.08216032385826111, 0.1]]","[['seq_comp_14', -0.032516900449991226, -0.38], ['MarketChainName', None, -0.57], ['seq_comp_30', 0.025678254663944244, -0.59]]",FALSE,2486496
5017041,0.56,L,"[['products_history', 0, 0.59], ['ZipCode', 153, 0.26], ['seq_comp_20', 0.003904992016032338, 0.1]]","[['seq_comp_30', 0.025678254663944244, -0.33], ['seq_comp_14', -0.032516900449991226, -0.45], ['MarketChainName', None, -0.5]]",FALSE,2484772
4758645,0.72,M,"[['products_history', 0, 0.5], ['current_week', 4, 0.32], ['Category', 'PC12', 0.25]]","[['products_new_all_tf', 5, -0.22], ['seq_comp_14', -0.032516900449991226, -0.25], ['seq_comp_30', 0.025678254663944244, -0.43]]",FALSE,2474336
5065255,0.59,L,"[['products_history', 0, 0.47], ['MarketChainName', 'CIRCLE K', 0.17], ['seq_comp_03', 0.08216032385826111, 0.11]]","[['products_new_all_tf', 5, -0.29], ['Category', None, -0.31], ['seq_comp_30', 0.025678254663944244, -0.6]]",FALSE,2422384
4519567,0.76,M,"[['products_history', 0, 0.6], ['current_week', 4, 0.3], ['seq_comp_29', 0.08296877145767212, 0.12]]","[['products_new_all_tf', 5, -0.2], ['seq_comp_14', -0.032516900449991226, -0.21], ['seq_comp_30', 0.025678254663944244, -0.4]]",FALSE,2335388
4199626,0.72,M,"[['products_history', 0, 0.78], ['seq_comp_29', 0.08296877145767212, 0.12], ['ZipCode', 3647, 0.11]]","[['seq_comp_14', -0.032516900449991226, -0.23], ['seq_comp_30', 0.025678254663944244, -0.27], ['Category', 'PC70, PC64', -0.72]]",FALSE,2315539
4849014,0.57,L,"[['products_history', 0, 0.51], ['products_new_all_tf', 29, 0.2], ['seq_comp_03', 0.08216032385826111, 0.1]]","[['seq_comp_14', -0.032516900449991226, -0.29], ['Category', 'PC41', -0.36], ['seq_comp_30', 0.025678254663944244, -0.7]]",FALSE,2260982
4961926,0.66,M,"[['products_history', 0, 0.47], ['current_week', 4, 0.23], ['seq_comp_03', 0.08216032385826111, 0.1]]","[['products_new_all_tf', 5, -0.27], ['seq_comp_14', -0.032516900449991226, -0.29], ['seq_comp_30', 0.025678254663944244, -0.4]]",FALSE,2226199
4199634,0.81,H,"[['products_history', 0, 0.74], ['current_week', 4, 0.28], ['MarketChainName', 'CIRCLE K', 0.13]]","[['seq_comp_21', 0.057679735124111176, -0.23], ['seq_comp_30', 0.025678254663944244, -0.28], ['Category', 'PC70, PC61', -0.34]]",FALSE,2087146
2314268,0.53,L,"[['products_history', 0, 0.72], ['seq_comp_03', 0.08216032385826111, 0.08], ['seq_comp_20', 0.003904992016032338, 0.07]]","[['MarketChainName', 'OSLO KOMM SENTRALADM.', -0.44], ['seq_comp_14', -0.032516900449991226, -0.45], ['Category', 'PC65', -0.58]]",FALSE,1878099
4958922,0.79,M,"[['current_week', 4, 0.35], ['products_history', 0, 0.34], ['Category', 'PC64', 0.26]]","[['seq_comp_21', 0.057679735124111176, -0.21], ['seq_comp_30', 0.025678254663944244, -0.28], ['seq_comp_14', -0.032516900449991226, -0.31]]",FALSE,1721109
4160354,0.52,L,"[['products_history', 0, 0.49], ['seq_comp_04', -0.21040497720241547, 0.1], ['ZipCode', 4632, 0.09]]","[['seq_comp_14', -0.032516900449991226, -0.47], ['seq_comp_30', 0.025678254663944244, -0.51], ['Category', 'PC20', -0.67]]",FALSE,1717222
4097473,0.5,L,"[['products_history', 0, 0.68], ['seq_comp_04', -0.21040497720241547, 0.13], ['current_week', 4, 0.12]]","[['seq_comp_30', 0.025678254663944244, -0.49], ['Category', 'PC16, PC24', -0.49], ['seq_comp_14', -0.032516900449991226, -0.5]]",FALSE,1573682
2944064,0.5,L,"[['products_history', 0, 0.83], ['ZipCode', 5113, 0.22], ['seq_comp_29', 0.08296877145767212, 0.19]]","[['seq_comp_14', -0.032516900449991226, -0.35], ['MarketChainName', None, -0.4], ['Category', 'PC37', -1.07]]",FALSE,1557057
4359840,0.68,M,"[['products_history', 0, 0.44], ['current_week', 4, 0.18], ['MarketChainName', 'CIRCLE K', 0.12]]","[['products_new_all_tf', 5, -0.28], ['seq_comp_14', -0.032516900449991226, -0.29], ['seq_comp_30', 0.025678254663944244, -0.38]]",FALSE,1544527
5021381,0.78,M,"[['products_history', 0, 0.56], ['current_week', 4, 0.26], ['MarketChainName', 'YX MARKED', 0.18]]","[['seq_comp_14', -0.032516900449991226, -0.21], ['products_new_all_tf', 5, -0.23], ['seq_comp_30', 0.025678254663944244, -0.39]]",FALSE,1542570
4197414,0.5,L,"[['products_history', 0, 0.65], ['seq_comp_04', -0.21040497720241547, 0.13], ['current_week', 4, 0.09]]","[['seq_comp_30', 0.025678254663944244, -0.49], ['Category', 'PC27, PC22', -0.52], ['seq_comp_14', -0.032516900449991226, -0.53]]",FALSE,1533876
5021282,0.8,H,"[['products_history', 0, 0.4], ['current_week', 4, 0.32], ['Category', 'PC64', 0.25]]","[['products_new_all_tf', 5, -0.23], ['seq_comp_30', 0.025678254663944244, -0.27], ['seq_comp_14', -0.032516900449991226, -0.3]]",FALSE,1531722
1564012,0.64,L,"[['products_history', 0, 0.57], ['seq_comp_29', 0.08296877145767212, 0.26], ['current_week', 4, 0.2]]","[['seq_comp_14', -0.032516900449991226, -0.2], ['seq_comp_30', 0.025678254663944244, -0.38], ['Category', 'PC21', -1.0]]",FALSE,1518893
2707867,0.51,L,"[['products_history', 0, 0.35], ['current_week', 4, 0.22], ['MarketChainName', 'YX MARKED', 0.15]]","[['seq_comp_14', -0.032516900449991226, -0.33], ['seq_comp_30', 0.025678254663944244, -0.62], ['Category', 'PC20', -0.63]]",FALSE,1501204
4594016,0.67,M,"[['products_history', 0, 0.85], ['ZipCode', 4848, 0.13], ['seq_comp_03', 0.08216032385826111, 0.11]]","[['seq_comp_14', -0.032516900449991226, -0.3], ['seq_comp_30', 0.025678254663944244, -0.34], ['MarketChainName', None, -0.44]]",FALSE,1496322
4019899,0.59,L,"[['products_history', 0, 0.56], ['MarketChainName', 'UMOE RESTAURANTS AS', 0.33], ['current_week', 4, 0.25]]","[['seq_comp_23', -0.024844428524374962, -0.05], ['products_new_18_week', 0, -0.05], ['Category', 'PC21', -0.11]]",FALSE,1423771
4517835,0.87,H,"[['products_history', 0, 0.73], ['current_week', 4, 0.25], ['products_new_all_tf', 29, 0.21]]","[['seq_comp_21', 0.057679735124111176, -0.17], ['seq_comp_14', -0.032516900449991226, -0.23], ['seq_comp_30', 0.025678254663944244, -0.49]]",FALSE,1407238
4959573,0.83,H,"[['products_history', 0, 0.72], ['current_week', 4, 0.14], ['MarketChainName', 'CIRCLE K', 0.14]]","[['seq_comp_31', 0.048676926642656326, -0.11], ['seq_comp_14', -0.032516900449991226, -0.23], ['seq_comp_30', 0.025678254663944244, -0.58]]",FALSE,1407238
1762715,0.63,L,"[['products_history', 0, 0.64], ['ZipCode', 4313, 0.16], ['current_week', 4, 0.14]]","[['seq_comp_21', 0.057679735124111176, -0.22], ['seq_comp_30', 0.025678254663944244, -0.41], ['Category', 'PC40, PC28', -1.04]]",FALSE,1403971
4097580,0.5,L,"[['products_history', 0, 0.79], ['ZipCode', 2953, 0.14], ['products_new_all_tf', 19, 0.13]]","[['seq_comp_30', 0.025678254663944244, -0.42], ['MarketChainName', None, -0.45], ['Category', 'PC21', -1.06]]",FALSE,1402494
5122544,0.77,M,"[['products_history', 0, 0.41], ['current_week', 4, 0.35], ['Category', 'PC64', 0.21]]","[['products_new_all_tf', 5, -0.25], ['seq_comp_30', 0.025678254663944244, -0.29], ['seq_comp_14', -0.032516900449991226, -0.29]]",FALSE,1366715
5019518,0.53,L,"[['products_history', 0, 0.61], ['current_week', 4, 0.17], ['MarketChainName', 'CIRCLE K', 0.13]]","[['products_new_all_tf', 5, -0.24], ['seq_comp_30', 0.025678254663944244, -0.37], ['Category', 'PC35', -1.15]]",FALSE,1329945
4697793,0.78,M,"[['products_history', 0, 0.58], ['current_week', 4, 0.28], ['MarketChainName', 'YX 7-ELEVEN', 0.15]]","[['products_new_all_tf', 5, -0.21], ['seq_comp_14', -0.032516900449991226, -0.21], ['seq_comp_30', 0.025678254663944244, -0.4]]",FALSE,1312875
5123195,0.54,L,"[['products_history', 0, 0.62], ['current_week', 4, 0.17], ['seq_comp_04', -0.21040497720241547, 0.12]]","[['ZipCode', 7600, -0.31], ['seq_comp_14', -0.032516900449991226, -0.38], ['MarketChainName', None, -0.61]]",FALSE,1264530
2717031,0.58,L,"[['products_history', 0, 0.54], ['current_week', 4, 0.13], ['seq_comp_03', 0.08216032385826111, 0.09]]","[['seq_comp_30', 0.025678254663944244, -0.29], ['seq_comp_14', -0.032516900449991226, -0.37], ['MarketChainName', None, -0.52]]",FALSE,1260280
4357802,0.79,M,"[['products_history', 0, 0.68], ['current_week', 4, 0.31], ['MarketChainName', 'CIRCLE K', 0.12]]","[['seq_comp_21', 0.057679735124111176, -0.21], ['seq_comp_30', 0.025678254663944244, -0.33], ['Category', 'PC20, PC25', -0.36]]",FALSE,1253624
4517496,0.78,M,"[['products_history', 0, 0.4], ['current_week', 4, 0.32], ['Category', 'PC64', 0.19]]","[['products_new_all_tf', 5, -0.25], ['seq_comp_30', 0.025678254663944244, -0.28], ['seq_comp_14', -0.032516900449991226, -0.29]]",FALSE,1248145
1563972,0.54,L,"[['products_history', 0, 0.82], ['products_new_all_tf', 20, 0.15], ['seq_comp_29', 0.08296877145767212, 0.09]]","[['seq_comp_30', 0.025678254663944244, -0.4], ['MarketChainName', None, -0.46], ['Category', 'PC21', -1.07]]",FALSE,1113059
2422426,0.63,L,"[['products_history', 0, 0.84], ['seq_comp_03', 0.08216032385826111, 0.11], ['current_week', 4, 0.1]]","[['seq_comp_14', -0.032516900449991226, -0.29], ['seq_comp_30', 0.025678254663944244, -0.36], ['MarketChainName', 'JAFS', -0.49]]",FALSE,1066869
4855995,0.51,L,"[['products_history', 0, 0.66], ['products_new_all_tf', 25, 0.14], ['current_week', 4, 0.13]]","[['seq_comp_30', 0.025678254663944244, -0.5], ['MarketChainName', None, -0.53], ['seq_comp_14', -0.032516900449991226, -0.62]]",FALSE,934067
4019931,0.81,H,"[['products_history', 0, 0.53], ['current_week', 4, 0.34], ['Category', 'PC32', 0.14]]","[['products_new_all_tf', 5, -0.19], ['seq_comp_21', 0.057679735124111176, -0.21], ['seq_comp_30', 0.025678254663944244, -0.36]]",TRUE,913855
1456219,0.52,L,"[['products_history', 0, 0.6], ['ZipCode', 2480, 0.13], ['seq_comp_03', 0.08216032385826111, 0.09]]","[['seq_comp_30', 0.025678254663944244, -0.33], ['seq_comp_14', -0.032516900449991226, -0.4], ['MarketChainName', None, -0.5]]",FALSE,571638
5123153,0.59,L,"[['products_history', 0, 0.57], ['products_new_all_tf', 29, 0.2], ['ZipCode', 2816, 0.09]]","[['seq_comp_14', -0.032516900449991226, -0.29], ['Category', None, -0.43], ['seq_comp_30', 0.025678254663944244, -0.68]]",FALSE,520163
4597563,0.63,L,"[['products_history', 0, 0.41], ['current_week', 4, 0.16], ['MarketChainName', 'ESSO STASJONER', 0.13]]","[['products_new_all_tf', 5, -0.26], ['seq_comp_14', -0.032516900449991226, -0.31], ['seq_comp_30', 0.025678254663944244, -0.39]]",FALSE,260588
4594024,0.77,M,"[['products_history', 0, 0.71], ['current_week', 4, 0.16], ['seq_comp_29', 0.08296877145767212, 0.16]]","[['products_new_all_tf', 5, -0.23], ['seq_comp_14', -0.032516900449991226, -0.26], ['seq_comp_30', 0.025678254663944244, -0.38]]",FALSE,256230
4160115,0.57,L,"[['products_history', 0, 0.38], ['current_week', 4, 0.17], ['MarketChainName', 'CIRCLE K', 0.12]]","[['products_new_all_tf', 5, -0.28], ['seq_comp_30', 0.025678254663944244, -0.4], ['Category', 'PC20', -0.58]]",FALSE,229807
963488,0.76,M,"[['products_history', 0, 0.34], ['current_week', 4, 0.3], ['Category', 'PC64', 0.19]]","[['products_new_all_tf', 5, -0.24], ['seq_comp_30', 0.025678254663944244, -0.29], ['seq_comp_14', -0.032516900449991226, -0.3]]",FALSE,225235
1761311,0.52,L,"[['products_history', 0, 0.53], ['current_week', 4, 0.21], ['ItemGroup', 'Bread', 0.2]]","[['seq_comp_17', -0.051530372351408005, -0.04], ['seq_comp_23', -0.024844428524374962, -0.05], ['seq_comp_26', 0.008576313965022564, -0.05]]",FALSE,1920735
4464681,0.54,L,"[['products_history', 0, 0.73], ['products_new_all_tf', 45, 0.17], ['seq_comp_04', -0.21040497720241547, 0.1]]","[['seq_comp_14', -0.032516900449991226, -0.46], ['MarketChainName', None, -0.5], ['Category', 'PC68', -0.5]]",FALSE,1461961
